Fecha: 13:06 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: openssl_decrypt(): IV passed is only 3 bytes long, cipher expects an IV of precisely 16 bytes, padding with \0 | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\encriptador.php | Línea: 57 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: openssl_decrypt(): IV passed is only 3 bytes long, cipher expects an IV of precisely 16 bytes, padding with \0 | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\encriptador.php | Línea: 57 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:06 05-12-2025 | Mensaje: openssl_decrypt(): IV passed is only 3 bytes long, cipher expects an IV of precisely 16 bytes, padding with \0 | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\encriptador.php | Línea: 57 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:07 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:08 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:08 05-12-2025 | Mensaje: openssl_decrypt(): IV passed is only 3 bytes long, cipher expects an IV of precisely 16 bytes, padding with \0 | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\encriptador.php | Línea: 57 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:09 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:09 05-12-2025 | Mensaje: openssl_decrypt(): IV passed is only 3 bytes long, cipher expects an IV of precisely 16 bytes, padding with \0 | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\encriptador.php | Línea: 57 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:11 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:11 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:12 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:12 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:12 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
